attribute,layer,t1_top1_token_nmi,t2_top1_token_nmi,examples
birth_city,0,0.45756894079496735,0.5581297699026094,43369
birth_city,1,0.4943774293444202,0.6054373346686687,43369
birth_city,2,0.5091980012287206,0.22070598453202186,43369
birth_city,3,0.04146699226194905,0.24579178442521032,43369
birth_city,4,0.12880636067205778,0.13234061126220426,43369
birth_city,5,0.057792022854394436,0.13012180777730595,43369
birth_city,6,0.024903697558044034,0.03071212245933959,43369
birth_city,7,0.10606786642941471,0.10423664579874879,43369
birth_city,8,0.05637905554772384,0.024426618281508692,43369
birth_city,9,0.029495992559046662,0.07310650480982295,43369
birth_city,10,0.02792909444528266,0.06986181262470917,43369
birth_city,11,0.004402840811291337,0.07117893050563352,43369
university,0,0.45915742806881504,0.5626143540905365,45672
university,1,0.49366206927064665,0.4973505728840855,45672
university,2,0.5075296187992808,0.22584316706083185,45672
university,3,0.043498884186653854,0.3535178546053884,45672
university,4,0.1333805104299949,0.16213527925020482,45672
university,5,0.05727372378141798,0.12685911149095783,45672
university,6,0.025649233073288605,0.08081443097270091,45672
university,7,0.10481622053531515,0.13957208906380078,45672
university,8,0.05625822302570501,0.06735998948924472,45672
university,9,0.02791514781092826,0.08996552947090918,45672
university,10,0.02749942783815322,0.053201396621371015,45672
university,11,0.00460205814659152,0.0655218340744965,45672
major,0,0.2785552467384915,0.6514057711959809,23769
major,1,0.3603539507623515,0.5033481979379524,23769
major,2,0.3073091519956732,0.5453122612274944,23769
major,3,0.2546606236927661,0.6337676604374134,23769
major,4,0.21610802049320427,0.3066637433442153,23769
major,5,0.10653339677329664,0.18542878570871812,23769
major,6,0.04914618380279467,0.11040446039864688,23769
major,7,0.18945935639054098,0.3484118554733997,23769
major,8,0.14240014656966107,0.16697800628238707,23769
major,9,0.06754423003414427,0.1323359375505555,23769
major,10,0.11739208365502465,0.29341839884510434,23769
major,11,0.22217368765208195,0.2718267886511854,23769
company,0,0.5130502671585276,0.4632809094450849,25786
company,1,0.5511776711868008,0.577274262152,25786
company,2,0.36927929403815507,0.2900398996500366,25786
company,3,0.18787555775069353,0.31824804418642916,25786
company,4,0.09643556662721342,0.17093694761303738,25786
company,5,0.0857839848855133,0.17710659655010863,25786
company,6,0.11803169573348722,0.11802450827774136,25786
company,7,0.10958332675863525,0.22957863170150022,25786
company,8,0.09670120396419593,0.15707647679126646,25786
company,9,0.12430852076974208,0.18048925278094022,25786
company,10,0.11575776109830056,0.15218492174577125,25786
company,11,0.08801498491385419,0.18481175938248898,25786
company_city,0,0.43964424470775526,0.5309157978804919,23448
company_city,1,0.49231877296043286,0.5982242487173725,23448
company_city,2,0.5156980388634026,0.23061535793197993,23448
company_city,3,0.04752614502258595,0.2698595513876292,23448
company_city,4,0.11735756043792939,0.15110908847907564,23448
company_city,5,0.07932843024570366,0.16133276388671744,23448
company_city,6,0.02910887552514334,0.06732188828374641,23448
company_city,7,0.12361999274260842,0.11917331547193652,23448
company_city,8,0.07338285721157276,0.06181839187642455,23448
company_city,9,0.056269936559602544,0.11034386045881392,23448
company_city,10,0.03899068620839862,0.11767335599909404,23448
company_city,11,0.040001798045411104,0.0934518584829784,23448
